Primary Type,Block,Location Description,Domestic,month,Period_1,Period_2
1,16325,90,0,7,1,0
2,1114,88,0,7,1,0
2,7057,80,0,7,0,0
0,1359,87,1,7,1,0
1,18022,17,1,7,1,0
2,19631,88,0,7,1,0
2,8939,90,0,7,0,0
2,13108,88,0,7,0,1
2,12007,72,0,7,1,0
2,703,88,0,7,0,1
1,15353,77,1,7,0,1
0,15466,37,0,7,1,0
2,3509,92,0,7,1,0
2,4654,69,0,7,1,0
2,3994,69,0,7,1,0
2,22323,80,0,7,0,0
2,130,81,0,7,1,0
1,7015,45,1,7,0,1
2,11879,88,0,7,1,0
1,11580,77,0,7,0,1
1,14311,77,1,7,0,1
1,22705,77,1,7,0,1
1,3234,61,0,7,0,1
1,2758,88,1,7,0,1
2,13798,50,0,7,0,1
1,247,87,0,7,0,1
0,10379,78,0,7,1,0
2,12203,90,1,7,1,0
1,5488,77,1,7,1,0
1,4977,87,0,7,0,0
1,2711,17,1,7,0,1
2,20928,69,0,7,0,1
2,5994,37,0,7,0,1
2,9994,17,0,7,1,0
2,15459,52,0,7,1,0
2,1996,81,0,7,1,0
2,129,50,0,7,0,1
2,19631,50,0,7,0,1
2,6540,80,0,7,1,0
0,12457,90,0,7,0,0
2,8618,88,0,7,0,1
1,16545,90,1,7,0,1
1,7953,77,1,7,0,1
1,2733,17,1,7,0,1
2,1696,87,0,7,0,1
1,337,90,0,7,0,1
2,1258,73,0,7,1,0
2,18010,17,1,7,0,1
2,1251,69,0,7,0,1
2,19019,77,0,7,1,0
2,15012,90,0,7,0,1
2,15293,59,0,7,0,1
2,4533,88,0,7,0,1
2,11847,90,0,7,0,1
2,18142,15,0,7,0,0
2,14862,17,0,7,1,0
0,19646,77,1,7,0,1
2,7163,90,0,7,0,0
2,15651,73,0,7,0,1
1,4580,87,0,7,1,0
2,9472,85,0,7,0,1
2,1264,69,0,7,0,1
2,1204,45,0,7,0,1
1,787,45,0,7,0,1
2,212,87,0,7,0,1
2,9994,78,0,7,0,1
1,15329,77,0,7,0,1
2,431,87,0,7,0,1
1,7277,87,0,7,1,0
1,4953,77,1,7,0,1
1,17887,85,0,7,0,1
2,16008,43,0,7,0,0
1,13616,15,0,7,0,1
1,17590,17,1,7,0,1
1,18621,77,1,7,0,1
2,21816,51,0,7,1,0
0,7814,96,0,7,0,1
2,20534,50,0,7,0,1
1,16325,17,1,7,0,1
2,693,87,0,7,0,1
2,629,88,0,7,0,1
0,14256,69,0,7,0,1
2,21623,17,0,7,1,0
1,4243,17,1,7,0,1
2,15459,52,0,7,0,1
2,755,59,0,7,0,1
2,15058,57,0,7,0,1
1,15329,77,1,7,0,1
0,20534,50,1,7,0,1
2,10813,72,0,7,0,1
1,11653,77,1,7,0,0
0,4016,15,0,7,0,1
2,14940,90,1,7,0,1
2,629,50,0,7,0,1
0,10955,90,0,7,0,1
1,11027,89,0,7,0,1
1,12867,87,0,7,0,1
2,524,50,0,7,0,1
1,12459,15,1,7,0,1
1,1671,69,0,7,0,1
2,801,88,0,7,0,1
1,11000,77,1,7,0,1
2,134,19,0,7,0,1
2,21841,77,0,7,1,0
1,13712,87,0,7,0,1
1,12440,87,1,7,0,1
1,11171,87,1,7,0,1
1,13279,69,0,7,0,1
1,4576,87,0,7,0,1
2,14010,88,0,7,0,1
1,9726,90,0,7,0,1
1,16448,17,0,7,0,1
1,5030,87,1,7,0,1
0,8866,87,0,7,0,1
1,20044,17,0,7,0,1
2,629,88,0,7,0,1
