Primary Type,Latitude,Longitude
1,41.758249888,-87.56635652700001
1,41.757547489000004,-87.63660265799999
1,41.823665846,-87.603072021
0,41.668924077,-87.621656121
1,41.760682126,-87.643074607
1,41.943380279,-87.74763728799999
1,41.925217466999996,-87.63587640000001
1,41.965619581999995,-87.70410751600001
1,42.007973303,-87.68144809799999
1,41.775815434,-87.615515359
1,41.881816644000004,-87.644383332
1,41.998262327,-87.6972266
1,41.846436811,-87.696523392
1,41.770020864,-87.6913338
1,41.876225438,-87.72171789
0,41.782557317,-87.77045334700001
1,41.983068616,-87.709390221
0,41.829651528,-87.614451899
1,41.901351049,-87.694376484
1,41.941548450999996,-87.717469865
0,41.745364351999996,-87.59169528700001
1,41.877864969,-87.62766695399999
1,41.876396396,-87.63073443799999
0,41.668924077,-87.621656121
0,41.808574496999995,-87.668027654
1,41.890450111999996,-87.64760699899999
0,41.749502396,-87.60105110200001
1,41.75953427,-87.60907381
0,41.720186651999995,-87.67960306200001
1,41.82689451,-87.662705011
1,41.852539739,-87.693012575
1,41.843753299,-87.71111261899999
1,41.84292557,-87.665840602
1,41.90971226,-87.73926766
0,41.892753031,-87.62419389600001
1,41.887731576,-87.76543983799999
1,42.008897419,-87.67891821100001
1,42.021783688,-87.670715337
1,41.72092149,-87.638342772
1,41.683432133000004,-87.67389084
0,41.922135157,-87.71530490399999
1,41.903775756,-87.639324074
1,41.887758016999996,-87.664356811
1,41.920417936999996,-87.687502561
1,41.985753226,-87.811859706
0,41.902365801,-87.71685473299999
0,41.898008178000005,-87.731905017
1,41.952546063,-87.663348891
0,41.892753031,-87.62419389600001
1,41.894781156,-87.634962524
1,41.89804054,-87.62409132299999
1,41.918155261,-87.72028153299999
1,41.87285385,-87.63257602799999
1,41.928825746,-87.66487969299999
1,41.957000753,-87.65461466
1,41.953021828000004,-87.68600814
1,41.780748564,-87.764272909
1,41.932831201,-87.64335316200001
0,41.764900898,-87.576943938
1,41.851744241,-87.70700867299999
1,41.761980459,-87.58356485200001
1,41.751260619,-87.67194739899999
1,41.88832617,-87.75535704299999
1,41.7640564,-87.65998021700001
0,41.753906366,-87.61135800299999
1,41.950519369,-87.736712634
1,41.79985743,-87.589101502
1,41.851491339,-87.72843193
1,41.950990726,-87.68837775600001
1,41.875743496999995,-87.755844956
1,41.705677781999995,-87.600944364
1,41.705113794,-87.623461757
1,41.750930509,-87.558942005
0,41.797983238,-87.73309788700001
0,41.714767718000004,-87.569444891
0,41.684748514,-87.63246829299999
0,41.770020864,-87.6913338
0,41.702419375,-87.625769131
0,41.683667894,-87.624074604
1,41.798889417,-87.66227825799999
0,41.683347119000004,-87.63533166399999
0,41.734544705,-87.55413415
0,41.693223634,-87.54010818
0,41.749223392,-87.54800167200001
1,41.791950089000004,-87.800760135
1,41.878431421,-87.75829201399999
1,41.852561556,-87.71502445200001
1,41.949994460999996,-87.747220162
1,41.992259008000005,-87.71041506600001
0,41.879505216999995,-87.626642765
0,41.875411326999995,-87.71420942399999
0,41.771046096999996,-87.585017278
0,41.892302421,-87.7198824
0,41.975256463,-87.689125924
1,41.872790905,-87.70467367
1,41.764151886,-87.683229302
1,41.883743485,-87.64125219700001
1,41.896714548,-87.625340136
1,41.93883609,-87.746072695
0,41.740902876999996,-87.605981819
0,41.751353941,-87.671950106
1,41.881716983000004,-87.75297460200001
0,41.820257542,-87.615272369
0,41.702919503000004,-87.61966277799999
0,41.765025836,-87.655897688
1,41.880108035,-87.647309981
0,41.903176939,-87.677993219
1,41.776461994,-87.683570601
0,41.735285727,-87.648479626
1,41.902737738,-87.66747712700001
1,41.703692262,-87.68281332
0,41.990425132,-87.70273767399999
0,41.74899896,-87.605175838
1,41.788339891,-87.740514226
1,41.979833221999996,-87.71243026299999
0,41.69394281,-87.612190086
0,41.883430189,-87.75640003299999
1,41.88100737,-87.70320506799999
0,41.688055018,-87.64832909799999
0,41.756617188,-87.562688944
0,41.752777454000004,-87.593086878
0,41.759896794,-87.601753948
0,41.741520239,-87.582080755
0,41.922593815999996,-87.772020556
0,41.772831306,-87.59115900399999
1,41.756369263,-87.572429865
1,41.961151213,-87.711515999
1,41.878766117,-87.62072428399999
0,41.72444317,-87.626315136
1,41.99792943,-87.704543489
0,41.797604707,-87.606294529
0,41.684574683,-87.630068598
1,41.755498249,-87.64538045
0,41.757950303,-87.615113401
1,41.885871785,-87.63245214700001
1,41.954621575,-87.75106737
1,41.874219453,-87.736332256
0,41.882075132,-87.626408804
1,41.901133376,-87.629904979
1,41.808782124000004,-87.626070778
1,42.019381415,-87.672425761
0,41.94955828,-87.647198103
1,41.793890917,-87.617532341
1,41.680481664,-87.540099953
1,41.795991039,-87.63054248899999
1,41.871607384,-87.632931102
1,41.871781418000005,-87.713836905
1,41.885643998,-87.72903165
1,41.801281827,-87.61938657299999
1,41.721019913,-87.588352566
0,41.909915753,-87.723641084
1,41.93860012,-87.76461383899999
1,41.717397094,-87.61766389700001
0,41.896726821,-87.62466048799999
1,41.85166314,-87.734508608
0,41.861674964,-87.716504195
1,41.941748603,-87.66871808399999
1,41.899410159,-87.624131266
0,41.804100478,-87.663632299
0,41.709533166,-87.630770825
0,41.717401199,-87.615242735
0,41.652374775,-87.610081559
0,41.778099133000005,-87.633828531
0,41.860320126,-87.717680911
0,41.863663168,-87.717781003
0,41.861320289,-87.704239058
0,41.858474195999996,-87.718884304
1,41.94266078,-87.64013022
0,41.734274215,-87.57565103
1,41.976814727,-87.659880317
0,41.732543977,-87.60472423600001
0,41.794299198000004,-87.646194185
1,41.888993854,-87.62693483299999
0,41.74689218,-87.60142156200001
1,41.784358494,-87.659478171
0,41.79254441,-87.615922804
1,41.736148121,-87.62907024299999
1,41.768428491,-87.674729321
0,41.778201261999996,-87.599177537
1,41.754592961,-87.74152853700001
1,41.924406431,-87.733233575
1,41.95117425,-87.69816187
1,41.879519801,-87.68639063399999
0,41.797811431999996,-87.756339771
1,41.976416368,-87.653750246
1,41.865583329,-87.619490306
1,41.868541914,-87.639235361
1,41.694777351999996,-87.67391410299999
1,41.892485711,-87.627127745
0,41.853653898000005,-87.724810713
1,41.844324387,-87.718810515
0,41.827734191,-87.678869624
0,41.969368744,-87.715837715
0,41.682548557,-87.651799401
0,41.936335635,-87.650710119
0,41.706942743,-87.64075293200001
1,41.90971226,-87.73926766
0,41.88145568,-87.64734697600001
1,41.874419317,-87.722157363
0,41.899738505,-87.66562392700001
0,41.906774636,-87.72642619
0,41.871667582,-87.696041706
1,41.987384881,-87.843369092
1,41.9116839,-87.745917518
1,41.83786208,-87.70972750600001
1,41.880362084,-87.75584743799999
1,41.891004201,-87.63256498700001
1,41.900752739,-87.62780069899999
1,41.754592961,-87.74152853700001
1,41.894162849000004,-87.67285149799999
1,41.851988885,-87.689219118
0,41.789909932,-87.66083913799999
0,41.849455621,-87.701514477
0,41.870721177,-87.73645659700001
1,41.889408164,-87.617616505
0,41.780031146,-87.627105407
1,41.880898957,-87.61904812700001
1,41.777955715,-87.605874912
1,41.891023035,-87.619141016
1,41.76480346,-87.62006238
1,41.974471958,-87.797591039
1,41.976851851999996,-87.654999693
1,41.751420646,-87.592486791
1,41.828209625,-87.60598503
1,41.999910093000004,-87.70092963100001
1,41.803400743000005,-87.619440072
1,41.876207070999996,-87.67664585799999
1,41.796942971,-87.684115567
0,41.906242849,-87.633000828
1,41.840748121,-87.685269347
1,41.884335468,-87.61916408799999
1,41.816598679,-87.61911376299999
0,41.885740288,-87.631590568
