Primary Type,Block,Location Description,Domestic,month,day,Period_1,Period_2
3,6616,115,0,7,26,0,0
3,14367,93,0,7,26,0,1
3,8724,110,0,7,26,0,1
3,1168,88,0,7,26,0,1
3,1115,50,0,7,26,0,1
3,203,112,0,7,26,0,1
2,752,115,0,7,26,0,1
3,9198,101,0,7,26,0,1
3,399,112,0,7,26,0,1
1,3602,115,0,7,26,0,1
2,3718,112,0,7,26,0,1
3,14686,48,0,7,26,0,0
2,1410,91,0,7,26,0,1
3,19874,57,0,7,26,1,0
3,18737,55,0,7,26,0,1
3,655,112,0,7,26,0,1
3,594,113,0,7,26,0,1
2,17020,101,0,7,26,0,1
3,19714,17,0,7,26,1,0
1,16835,93,0,7,26,1,0
3,14193,58,0,7,26,0,1
2,10744,101,0,7,26,0,1
3,708,70,0,7,26,0,1
3,13835,67,0,7,26,0,1
3,9944,91,0,7,26,0,1
1,11193,115,0,7,26,0,1
3,13729,115,1,7,26,0,1
1,7685,115,0,7,26,0,0
3,594,55,0,7,26,0,1
2,11658,15,0,7,26,0,1
1,9119,115,0,7,26,0,1
3,493,55,0,7,26,0,1
2,10243,115,0,7,26,0,1
2,5049,115,0,7,26,0,1
3,753,113,0,7,26,0,1
3,129,19,0,7,26,0,1
3,19893,100,0,7,26,1,0
2,10760,15,0,7,26,0,1
2,13156,112,0,7,26,0,1
3,12872,113,0,7,26,0,1
2,13543,112,0,7,26,0,1
2,11446,112,0,7,26,0,1
2,5967,115,0,7,26,0,1
2,7170,91,0,7,26,0,1
2,13530,115,0,7,26,0,1
3,594,113,0,7,26,0,1
3,6195,17,1,7,26,0,1
3,17159,100,0,7,26,0,1
1,10463,115,0,7,26,0,1
3,13041,113,0,7,26,0,1
3,6749,88,0,7,26,0,1
3,10887,101,0,7,26,0,1
3,11567,101,0,7,26,0,1
1,9617,115,0,7,26,0,1
2,7569,88,0,7,26,0,1
2,14887,112,0,7,26,0,0
3,12221,113,0,7,26,0,0
2,20040,46,0,7,26,0,0
2,14643,115,0,7,26,0,0
3,2779,113,0,7,26,1,0
1,16602,115,0,7,26,0,1
3,6886,115,0,7,26,0,1
3,18192,17,0,7,26,0,0
3,17403,115,0,7,26,0,1
3,1851,104,0,7,26,0,1
1,9341,91,0,7,26,1,0
1,13186,115,0,7,26,0,0
2,19267,115,0,7,26,0,0
1,18326,115,0,7,26,0,1
2,14981,115,0,7,26,0,0
3,4196,118,0,7,26,0,0
1,18606,115,0,7,26,0,1
3,17559,115,0,7,26,0,0
3,1838,100,1,7,26,0,0
2,1963,115,0,7,26,0,0
2,15957,15,0,7,27,0,0
3,11721,17,0,7,26,1,0
3,9316,17,0,7,26,0,0
3,6323,114,0,7,26,0,1
2,14981,101,0,7,26,0,0
3,12635,123,0,7,27,0,0
3,1851,76,0,7,26,0,1
3,9362,115,0,7,26,0,1
2,18059,115,0,7,26,0,0
3,1832,70,0,7,26,0,0
3,11111,91,0,7,26,0,1
3,1832,70,0,7,26,0,1
2,482,67,0,7,26,0,0
3,117,23,0,7,26,0,0
1,14418,115,0,7,27,0,0
3,18524,115,0,7,26,0,1
3,18095,100,0,7,26,0,0
3,9949,115,0,7,26,0,0
3,15694,115,0,7,26,0,0
3,18896,115,0,7,27,0,0
1,18862,115,0,7,26,0,1
3,19816,115,0,7,26,0,1
1,9450,115,0,7,26,0,0
3,1585,113,0,7,26,0,1
3,17978,17,0,7,26,0,1
3,15770,115,0,7,26,0,0
1,10462,115,0,7,26,0,1
1,17647,115,0,7,26,0,0
3,17329,67,0,7,27,0,0
1,2063,115,0,7,26,0,1
3,13452,115,0,7,26,0,1
3,483,115,0,7,26,1,0
1,11574,115,0,7,26,0,0
1,7307,114,0,7,27,0,0
3,13149,58,0,7,27,0,1
3,12392,89,0,7,26,0,1
3,2498,102,0,7,27,0,0
3,14120,100,0,7,27,0,0
3,18535,115,0,7,26,0,1
3,4839,115,0,7,26,0,1
3,8555,100,0,7,26,0,1
3,5477,115,0,7,26,0,0
3,1880,115,0,7,26,0,1
3,681,100,0,7,26,0,0
3,17371,115,0,7,27,1,0
3,1778,35,0,7,26,0,0
3,12575,115,0,7,26,0,0
3,10288,88,0,7,27,1,0
3,17418,115,0,7,26,0,1
2,10512,123,0,7,27,1,0
3,16613,115,0,7,27,1,0
1,13116,115,0,7,26,0,1
2,13507,115,0,7,27,1,0
3,1294,42,0,7,27,1,0
3,15582,115,0,7,26,0,0
3,139,76,0,7,27,0,0
3,14949,115,0,7,26,1,0
3,15741,111,0,7,27,1,0
3,14085,100,0,7,27,1,0
3,19989,93,0,7,27,1,0
3,6244,55,0,7,27,1,0
3,11120,35,0,7,27,1,0
3,11817,103,0,7,26,0,1
3,12874,93,0,7,26,0,1
3,530,115,0,7,26,0,0
2,13507,112,0,7,27,1,0
3,7672,58,0,7,27,1,0
2,4313,83,0,7,27,1,0
3,3943,123,0,7,27,0,0
3,14793,115,0,7,26,0,0
3,11625,100,0,7,27,1,0
3,15739,103,0,7,27,0,0
1,15554,115,0,7,27,1,0
3,14890,115,0,7,26,0,1
2,11643,112,0,7,27,1,0
3,20453,15,0,7,27,1,0
2,18252,112,0,7,27,1,0
3,1230,104,0,7,27,1,0
3,14725,46,0,7,26,0,1
1,12421,100,0,7,26,0,0
1,12982,115,0,7,26,0,0
3,972,70,0,7,26,0,1
3,5288,58,0,7,26,0,1
2,12485,111,0,7,27,1,0
2,13385,91,0,7,27,1,0
2,19169,70,0,7,27,1,0
3,13401,115,0,7,26,0,0
2,2804,15,0,7,27,0,1
3,5293,101,0,7,26,0,1
3,10505,103,0,7,27,1,0
1,18542,115,0,7,27,0,0
2,13969,17,0,7,27,1,0
1,3390,115,0,7,27,1,0
3,188,104,0,7,27,1,0
3,129,88,0,7,26,0,1
2,18242,103,0,7,27,1,0
3,17789,113,0,7,27,0,1
3,614,115,0,7,27,1,0
3,12562,102,0,7,27,0,1
2,11482,112,0,7,27,0,1
1,875,115,0,7,27,1,0
1,18095,115,0,7,26,0,0
3,3853,15,0,7,27,0,1
3,1616,104,0,7,27,0,1
3,3835,15,0,7,27,1,0
1,6383,115,0,7,26,0,1
3,680,123,0,7,27,0,1
2,7891,112,0,7,27,0,1
1,6920,115,0,7,26,1,0
2,1681,115,0,7,27,0,1
3,18737,55,0,7,27,1,0
1,17934,115,0,7,26,0,0
3,19167,17,0,7,26,0,1
3,8278,17,0,7,27,0,1
3,841,112,0,7,27,0,0
3,12841,70,0,7,27,0,1
3,16800,100,0,7,27,0,1
3,560,88,0,7,27,0,1
3,18106,103,0,7,27,1,0
3,20675,115,0,7,26,0,1
3,12852,55,0,7,27,0,1
3,611,17,0,7,27,1,0
1,12830,103,0,7,27,1,0
3,3183,100,0,7,27,0,0
3,404,93,0,7,27,1,0
3,9830,113,0,7,27,0,1
3,8547,115,0,7,27,0,1
1,10990,115,0,7,27,0,1
3,6191,115,0,7,27,0,1
3,18737,55,0,7,27,0,1
3,6399,113,0,7,27,0,1
