Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
1,101,0,41.745664188,-87.671810625,7,27,0,0
2,13,0,41.891322875,-87.75372136899999,7,27,1,0
1,101,0,41.900533416,-87.709375225,7,27,1,0
2,90,0,41.750706929,-87.60274149799999,7,27,1,0
2,98,0,41.878882786999995,-87.724472274,7,27,0,1
1,101,0,41.884783035,-87.740225784,7,27,1,0
1,101,0,41.753099617,-87.67200181700001,7,26,0,0
1,101,0,41.918286213,-87.691514324,7,26,0,1
2,98,0,41.844785593000005,-87.688311464,7,27,0,1
1,101,0,41.901315835,-87.68031174,7,26,1,0
2,101,0,41.721563635,-87.635621535,7,27,0,1
1,101,0,41.755633716999995,-87.644173224,7,26,0,0
1,90,0,41.895074928,-87.742011123,7,27,1,0
1,101,0,41.924551184,-87.721146317,7,27,0,1
2,98,0,41.869502519,-87.722843039,7,27,0,1
1,101,0,41.873948802,-87.682473996,7,27,1,0
2,101,0,41.735434996,-87.647279966,7,27,0,1
1,101,0,41.825705753,-87.613652178,7,27,0,1
2,101,0,41.876200483000005,-87.723733985,7,27,0,1
2,98,0,41.867073727,-87.725924382,7,27,0,1
2,101,0,41.888000869,-87.763296356,7,27,0,1
1,101,0,41.788780636999995,-87.60610456,7,26,0,1
1,87,0,41.749634988000004,-87.70904664700001,7,26,0,1
1,101,0,41.90775642,-87.72890397200001,7,26,0,1
1,101,0,41.811454311,-87.69185561799999,7,27,1,0
2,101,0,41.866755055,-87.722755368,7,27,0,1
1,82,0,41.882254728,-87.763912955,7,27,0,1
1,87,0,41.725596548,-87.563242931,7,26,0,1
2,90,0,41.794960529,-87.671901705,7,27,0,1
2,77,0,41.87992868,-87.688828444,7,27,0,1
1,90,0,41.696215644,-87.62418208700001,7,26,0,0
1,101,0,41.810788941,-87.613819175,7,26,1,0
2,101,0,41.859906912,-87.712798855,7,27,0,1
2,88,0,41.883011761,-87.754505236,7,27,0,1
1,82,0,41.910962486,-87.66234009899999,7,27,0,1
2,89,0,41.876862128,-87.74376164,7,27,0,0
2,13,0,41.960999819,-87.77214688,7,27,0,1
2,98,0,41.786559942,-87.67951589299999,7,27,0,0
1,77,0,41.8580016,-87.68581099,7,27,0,1
1,87,0,41.715929341,-87.61641654,7,27,0,1
2,101,0,41.779760885,-87.644057941,7,27,0,0
2,90,0,41.881335904000004,-87.756316052,7,27,0,1
2,98,0,41.894141342,-87.71993458799999,7,27,0,0
2,98,0,41.747538248000005,-87.55039315100001,7,27,0,0
2,101,0,41.961045012,-87.71983013799999,7,27,0,0
2,87,0,41.67132785,-87.657528857,7,27,0,1
2,101,0,41.744335065,-87.550307481,7,27,0,0
2,12,0,41.765299634,-87.61162616200001,7,27,0,0
1,101,0,41.85286088,-87.61903349100001,7,27,0,1
1,82,0,41.878776763000005,-87.67443837299999,7,27,0,1
1,101,0,41.961452823,-87.679367149,7,27,0,0
1,101,0,41.844000177,-87.628442902,7,27,0,1
1,101,0,41.819121577,-87.60224685799999,7,27,0,0
1,101,0,41.703924869,-87.565731769,7,27,0,0
1,82,0,41.848807993,-87.634710374,7,27,0,0
1,82,0,41.890016038,-87.700086593,7,27,0,1
