Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
3,115,0,41.756369263,-87.572429865,7,26,0,0
3,115,0,41.961151213,-87.711515999,7,26,0,0
3,39,0,41.878766117,-87.62072428399999,7,26,1,0
3,93,0,41.99792943,-87.704543489,7,26,0,0
1,57,0,41.72503226,-87.61422364200001,7,26,1,0
3,115,0,41.755498249,-87.64538045,7,26,1,0
3,104,0,41.885871785,-87.63245214700001,7,26,1,0
3,115,0,41.954621575,-87.75106737,7,26,0,0
3,88,0,41.874219453,-87.736332256,7,26,0,1
1,15,0,41.788804537,-87.71414507799999,7,26,1,0
2,17,0,41.880200089,-87.692703453,7,26,1,0
3,43,0,41.901133376,-87.629904979,7,26,0,0
3,52,0,41.808782124000004,-87.626070778,7,26,0,0
2,112,0,41.766938864000004,-87.57387386799999,7,26,1,0
1,115,0,41.781764229000004,-87.698340636,7,26,1,0
3,112,0,42.019381415,-87.672425761,7,26,1,0
2,91,0,41.993025413000005,-87.697046997,7,26,1,0
3,17,1,41.793890917,-87.617532341,7,26,1,0
3,70,0,41.680481664,-87.540099953,7,26,1,0
1,115,0,41.94103187,-87.717857097,7,26,0,0
3,55,0,41.795991039,-87.63054248899999,7,26,1,0
3,115,0,41.871607384,-87.632931102,7,26,0,0
2,112,0,41.899807095999996,-87.750816267,7,26,1,0
3,100,0,41.871781418000005,-87.713836905,7,26,1,0
3,115,0,41.885643998,-87.72903165,7,26,1,0
2,15,0,41.904709475,-87.774238074,7,26,1,0
3,115,0,41.801281827,-87.61938657299999,7,26,1,0
3,42,0,41.721019913,-87.588352566,7,26,1,0
3,15,0,41.93860012,-87.76461383899999,7,26,1,0
3,123,0,41.717397094,-87.61766389700001,7,26,1,0
3,115,0,41.85166314,-87.734508608,7,26,1,0
1,115,0,41.830917641,-87.608064205,7,26,0,0
2,15,0,41.890848335,-87.745664055,7,26,1,0
3,70,0,41.941748603,-87.66871808399999,7,26,1,0
2,112,0,41.881083889,-87.69519535799999,7,26,1,0
3,113,0,41.899410159,-87.624131266,7,26,1,0
2,15,0,41.797800275,-87.730649776,7,26,1,0
3,17,0,41.94266078,-87.64013022,7,26,0,1
3,58,0,41.976814727,-87.659880317,7,26,1,0
3,76,0,41.888993854,-87.62693483299999,7,26,0,0
2,15,0,41.880301306,-87.760698841,7,26,0,1
3,100,0,41.784358494,-87.659478171,7,26,1,0
3,113,0,41.736148121,-87.62907024299999,7,26,1,0
