Primary Type,Block,Domestic
0,19021,False
2,19089,False
1,7602,True
2,18196,False
2,1393,False
0,22407,False
2,17032,False
1,11710,True
2,143,False
2,16325,False
2,17205,False
2,15335,False
2,21957,False
2,6761,False
2,12097,False
1,682,False
2,12874,False
1,12755,False
0,17992,True
2,14012,False
2,564,False
1,5852,False
1,111,False
0,7192,False
2,8325,False
2,4269,False
1,22079,True
2,16136,False
1,16548,True
1,3192,False
2,12660,False
0,351,False
0,14061,False
1,8882,False
2,17202,False
0,16427,False
2,16250,False
2,22493,False
2,1327,False
1,3772,False
2,16052,False
1,4921,True
0,8559,True
0,19812,False
1,18360,False
1,4196,True
2,1041,False
2,5717,False
1,21422,True
0,12807,False
0,23042,False
1,9727,False
2,14576,False
2,5722,False
2,11431,False
2,198,False
2,134,False
1,16451,False
2,19501,False
1,2498,True
1,13487,True
1,7999,False
1,1546,False
2,650,False
2,13689,False
1,13978,True
2,4171,False
1,20241,True
1,6231,False
1,7933,False
2,1759,False
2,4151,False
1,1428,False
2,721,False
0,309,False
1,17910,False
2,20534,False
1,18193,True
2,21012,False
2,8987,False
2,899,False
2,13978,False
2,18406,False
2,595,False
2,19844,False
2,22777,False
2,13990,False
2,646,False
2,3457,False
0,4322,False
2,436,False
1,3645,True
2,10692,False
2,9278,False
2,6706,False
2,20534,False
1,15208,True
2,6920,False
1,20884,False
1,2879,True
1,3952,False
2,3685,False
0,10451,False
1,9617,False
1,2015,False
2,5291,False
0,6897,False
1,19471,True
0,1400,True
2,3994,False
2,2348,False
2,8725,False
2,5911,False
1,16272,True
1,5056,True
2,18125,False
1,12617,False
2,800,False
2,8700,False
2,2331,False
2,17893,False
2,12351,False
1,1611,True
2,696,False
2,20234,False
2,6914,False
2,18022,False
2,14493,False
2,985,False
0,6855,False
1,12355,False
1,12191,False
1,19003,False
2,107,False
2,696,False
1,3966,True
1,4252,True
1,17368,True
1,8775,False
1,21765,False
2,22005,False
2,10475,False
2,2437,False
0,6216,False
2,19395,False
2,19767,False
1,755,False
0,19966,False
2,6843,False
2,11277,False
2,682,False
1,20858,False
2,8323,False
1,5412,True
0,14695,False
2,14103,False
2,678,False
2,6220,False
0,10916,True
1,15494,True
2,5685,False
1,20363,False
2,13416,False
1,11438,False
2,14050,False
2,264,False
2,15313,False
2,10875,False
2,13969,False
1,15811,True
2,3199,False
0,17592,False
1,15786,True
0,14235,False
1,20072,True
1,4008,True
1,11959,False
1,18193,True
2,209,False
2,5852,False
1,7645,True
1,1088,False
0,20905,False
0,21345,True
0,9004,False
1,8905,True
1,22029,False
0,8660,False
2,4115,False
1,9829,True
2,17609,False
0,11899,False
1,10608,False
2,7408,False
1,8634,True
0,15473,False
2,4965,False
2,18228,False
2,1152,False
1,2500,False
2,7431,False
2,6612,False
2,14064,False
1,20259,True
1,3805,True
1,136,False
1,13123,True
1,3479,False
0,13589,False
1,13491,True
1,3792,False
2,5569,False
2,19631,False
1,20985,True
0,291,True
1,952,True
2,4225,False
0,3234,False
2,16041,False
1,4998,False
2,5032,False
2,3923,False
2,11697,False
2,21568,False
0,18776,False
1,4583,True
1,18646,True
2,15074,False
1,10892,False
0,4660,True
1,18341,True
1,13150,False
1,5382,False
1,18140,True
1,3038,False
0,11989,False
1,12431,False
1,16473,True
2,6854,False
2,437,False
2,23012,False
2,281,False
2,6873,False
2,2745,False
0,19064,False
1,11584,False
2,14281,False
2,12310,False
1,5174,False
0,11584,False
1,12814,True
2,14140,False
2,1251,False
2,10970,False
2,14068,False
1,16845,False
1,4782,False
1,8931,True
1,20805,True
0,2313,True
1,18536,True
1,1919,True
2,2500,False
1,19653,False
2,17878,True
2,20914,False
1,7783,False
1,18249,True
1,15353,True
1,15802,True
2,14390,False
1,13379,False
1,12616,True
1,14715,False
2,4225,False
2,8342,False
2,1972,False
2,18788,False
2,20474,False
2,1844,False
2,8867,False
2,6045,False
2,2036,True
2,11185,False
2,11438,False
2,20527,True
2,9648,False
2,17354,False
2,16526,False
2,15893,False
2,8334,False
2,17546,False
1,8490,True
0,2817,False
2,4983,False
1,9719,False
2,17534,False
2,2209,False
2,6706,False
2,542,False
2,20001,True
0,20025,False
2,22176,False
2,6843,False
2,2015,False
2,15575,False
2,19653,False
2,12865,False
2,3038,False
2,3179,False
2,7516,False
2,19205,False
0,17816,False
2,13722,False
2,20928,False
2,10162,False
0,1038,False
2,17820,False
1,4129,True
2,7564,False
2,5024,False
0,13827,True
1,6333,False
1,12462,True
2,4151,False
1,10559,False
1,13488,True
2,14747,False
2,2348,False
2,20514,False
1,3508,True
2,1959,False
1,17352,True
2,10882,False
2,3085,False
1,17125,True
2,18070,False
1,5393,True
1,9589,False
2,20582,False
2,7087,False
1,16211,True
0,18119,True
0,5900,False
1,13117,True
2,1497,False
2,14094,False
2,8435,False
2,7402,False
2,8753,False
2,1463,False
2,970,False
2,1876,False
2,881,False
2,411,False
2,134,False
2,562,False
2,16125,False
0,2843,False
2,8092,False
1,18013,True
2,18017,False
2,3350,False
2,21264,False
2,3609,False
2,15975,False
2,3076,False
1,10791,False
0,11171,False
2,13732,False
2,10969,False
2,15937,False
1,20061,True
2,1614,False
2,8099,False
2,4225,False
2,3981,False
2,130,False
2,10928,False
1,4640,False
1,9278,False
2,10160,False
2,22309,False
2,11716,False
2,15115,False
1,2666,True
2,15113,False
2,4449,False
2,21475,False
1,21764,False
2,5029,False
2,3085,False
2,2619,False
2,15068,False
2,14113,False
1,12355,True
1,19633,True
2,19653,False
2,6226,False
0,18329,False
2,20055,False
0,20914,True
2,19252,True
0,2319,False
2,7808,False
0,8201,True
2,1813,False
2,19325,False
2,21825,False
0,21014,False
2,3220,False
1,345,False
1,19570,False
2,19023,False
2,20003,False
1,4730,True
1,18769,False
1,11059,True
2,17670,False
1,18621,True
2,1142,False
2,4560,False
1,21437,False
2,4957,False
1,21832,False
2,5561,False
2,16753,False
2,12732,False
2,16261,True
2,14207,False
2,11681,False
1,1059,False
2,20723,False
2,7280,False
2,11793,False
2,11349,False
2,2102,False
2,11120,False
2,526,False
2,3920,False
1,21140,False
2,5701,False
2,9944,False
2,20545,False
1,16961,False
2,21795,False
2,19805,False
1,9104,False
1,16870,True
2,629,False
1,19596,True
2,21462,False
1,18013,False
1,6999,False
2,10486,False
2,7074,False
1,13356,False
2,7466,True
1,2260,False
2,16317,False
2,20396,False
2,9838,False
2,3181,False
1,13027,True
2,20293,False
0,19983,False
2,8044,False
2,13070,False
2,15290,False
2,2883,False
1,17633,False
1,18898,True
2,20783,False
2,9790,False
2,15590,False
2,6059,False
2,21669,False
1,15914,True
1,4532,False
2,4876,False
2,6316,False
0,7860,False
0,16980,False
2,6911,False
2,5007,False
2,18512,True
0,7302,False
2,2101,False
2,16165,False
2,3500,False
2,15176,False
2,15306,False
2,20463,False
2,23066,False
2,17628,False
2,12378,False
2,9683,False
2,916,False
2,20341,False
1,11688,False
2,9023,False
2,3854,False
1,14528,False
2,18831,False
2,1029,False
2,6196,False
2,3843,False
2,2954,False
2,12126,False
2,10437,False
2,11065,False
0,5639,True
2,16176,False
2,7280,False
2,8883,False
2,8590,False
1,4678,False
2,2216,False
2,9270,False
0,20048,False
2,14911,False
0,18974,False
2,22195,True
0,13837,False
2,15618,False
0,17461,True
1,9758,False
1,4629,True
1,9825,False
2,18582,False
1,12013,False
2,10887,False
1,5574,True
1,2362,True
1,11683,False
1,20236,True
1,4841,True
1,7581,True
